playerName,avgDriveDist,drivePct,avgPuttsPerRound,onePuttPct,driveSG,puttsSG,avgScore,tournament,courseYards
Luke List,319.5,60.71,28,43.06,0.724,-0.529,70.51,The American Express,7129
Will Zalatoris,317.4,58.93,26.5,47.22,0.787,-0.752,69.435,The American Express,7129
Joseph Bramlett,315.3,73.21,28.5,43.06,1.554,-0.045,70.173,The American Express,7129
Wyndham Clark,313,62.5,27,47.22,0.352,0.5,70.435,The American Express,7129
Paul Barjon,311.1,62.5,28.5,44.44,1.297,0.19,69.935,The American Express,7129
Sungjae Im,310.6,66.07,28.75,33.33,1.407,-0.529,69.76,The American Express,7129
Jon Rahm,310.5,60.71,28,41.67,1.139,0.475,70.685,The American Express,7129
Jason Day,310,69.64,26.5,44.44,-0.968,-1.044,71.51,The American Express,7129
Trey Mullinax,309.5,62.5,29.5,36.11,0.962,-1.906,72.435,The American Express,7129
Scottie Scheffler,308.8,66.07,28.25,38.89,-0.251,0.491,71.185,The American Express,7129
Cameron Young,308.1,57.14,27.25,50,-1.101,0.03,71.685,The American Express,7129
Patrick Rodgers,307.9,57.14,29,38.89,-1.177,0.035,70.423,The American Express,7129
Hudson Swafford,306.9,64.29,26,56.94,-0.191,3.201,68.435,The American Express,7129
Patrick Cantlay,306.3,58.93,27.75,47.22,0.934,0.099,69.685,The American Express,7129
Stephen Stallings Jr.,306.3,53.57,27.25,44.44,0.097,3.947,70.76,The American Express,7129
Nick Hardy,306,57.14,28.25,38.89,0.846,-0.918,71.923,The American Express,7129
Alex Smalley,305.4,73.21,28.5,40.28,1.061,0.379,71.185,The American Express,7129
Davis Riley,304,60.71,25.5,50,-2.119,-1.014,72.435,The American Express,7129
Tony Finau,303.9,53.57,27.75,44.44,0.85,0.856,71.685,The American Express,7129
Harold Varner III,303.4,64.29,27.5,45.83,0.036,-0.634,70.935,The American Express,7129
Seamus Power,303.3,66.07,27.25,51.39,-0.165,0.267,70.26,The American Express,7129
Jared Wolfe,303.1,62.5,29.25,36.11,0.572,-0.735,70.173,The American Express,7129
Anirban Lahiri,299.9,67.86,29.75,36.11,0.847,-0.421,72.935,The American Express,7129
Sahith Theegala,299.8,62.5,28,44.44,0.037,0.232,71.435,The American Express,7129
Si Woo Kim,298.8,62.5,26.25,54.17,0.367,1.993,70.185,The American Express,7129
Patrick Reed,298.5,50,27.25,43.06,-0.467,1.556,72.185,The American Express,7129
Patton Kizzire,298.3,58.93,28,44.44,0.469,-1.193,69.673,The American Express,7129
Abraham Ancer,296.5,73.21,29.25,37.5,0.759,-0.988,71.26,The American Express,7129
Lee Hodges,296.5,76.79,29,37.5,1.506,-0.574,69.185,The American Express,7129
Lanto Griffin,296.4,60.71,27,47.22,0.448,1.747,68.76,The American Express,7129
David Lipsky,296.1,73.21,26.5,51.39,-1.298,0.834,70.26,The American Express,7129
Russell Henley,295.6,69.64,28.5,44.44,0.796,-0.83,70.26,The American Express,7129
Harry Higgs,295.3,58.93,25.75,50,-0.725,-0.056,71.685,The American Express,7129
Camilo Villegas,295.1,67.86,29.25,36.11,0.24,-1.384,71.01,The American Express,7129
Tom Hoge,295,75,26.5,43.06,0.633,-0.33,68.51,The American Express,7129
Justin Rose,294.9,69.64,27,52.78,-0.751,0.492,71.01,The American Express,7129
Charles Howell III,294.6,66.07,27.5,44.44,-0.276,-0.93,69.923,The American Express,7129
Francesco Molinari,294.6,73.21,25.75,52.78,0.924,0.766,69.435,The American Express,7129
Aaron Rai,294.6,71.43,28.5,31.94,0.772,0.354,72.435,The American Express,7129
Vince Whaley,294.6,75,27,47.22,-0.536,-0.639,71.685,The American Express,7129
K.H. Lee,294.5,48.21,28,41.67,-2.415,0.144,71.423,The American Express,7129
J.T. Poston,294.1,69.64,28,45.83,0.226,0.792,70.76,The American Express,7129
Sepp Straka,294,73.21,28.25,40.28,-0.258,2.184,70.673,The American Express,7129
Kevin Chappell,293.8,55.36,28,47.22,0.707,-1.407,72.185,The American Express,7129
Martin Trainer,292.5,46.43,27,48.61,-0.005,1.134,70.923,The American Express,7129
Taylor Moore,291.5,66.07,27,45.83,-0.396,-0.708,73.185,The American Express,7129
Lucas Glover,291.4,69.64,28.75,40.28,0.017,0.11,71.435,The American Express,7129
Brandt Snedeker,291.1,83.93,27.5,51.39,1.25,0.585,70.685,The American Express,7129
Adam Hadwin,290.8,67.86,28.75,37.5,0.796,1.39,71.185,The American Express,7129
Greyson Sigg,290.5,69.64,27.5,41.67,0.164,0.694,70.76,The American Express,7129
Doug Ghim,290.4,67.86,28,38.89,-1.227,-1.772,72.01,The American Express,7129
Bronson Burgoon,290.3,60.71,27.75,41.67,-0.413,0.745,71.51,The American Express,7129
Sam Ryder,290.3,67.86,26.5,47.22,0.349,0.391,70.673,The American Express,7129
Roger Sloan,289.9,57.14,24.25,54.17,0.756,2.197,69.423,The American Express,7129
Adam Svensson,289.9,76.79,28.75,37.5,-0.702,-0.386,71.935,The American Express,7129
Emiliano Grillo,289.8,66.07,27.5,45.83,0.757,0.195,72.26,The American Express,7129
Hank Lebioda,288.1,73.21,25.75,54.17,-0.116,0.512,71.51,The American Express,7129
J.J. Spaun,287.9,76.79,27.5,36.11,0.448,0.726,70.76,The American Express,7129
S.Y. Noh,287.8,53.57,29,38.89,-2.45,0.994,71.923,The American Express,7129
Denny McCarthy,287.4,66.07,24,61.11,-1.324,2.678,69.01,The American Express,7129
Brice Garnett,287.3,67.86,26.25,48.61,-0.301,-0.037,73.01,The American Express,7129
Michael Gligic,285.9,57.14,28.5,34.72,0.357,-1.54,71.76,The American Express,7129
Brian Harman,285.8,64.29,27.75,43.06,-0.014,1.394,68.76,The American Express,7129
Nick Taylor,284.3,62.5,28,40.28,0.139,-0.028,71.01,The American Express,7129
Christiaan Bezuidenhout,283.5,67.86,28,36.11,-0.074,0.891,71.685,The American Express,7129
Henrik Norlander,279.9,62.5,27.75,43.06,-0.603,1.183,71.423,The American Express,7129
Jason Dufner,277.5,73.21,28,50,-0.379,1.331,70.423,The American Express,7129
Zach Johnson,277,57.14,27,47.22,-0.731,-0.271,70.685,The American Express,7129
Andrew Putnam,271.1,69.64,28.75,40.28,-0.43,0.834,70.26,The American Express,7129
Graeme McDowell,270.6,62.5,25.75,59.72,-0.301,0.048,71.685,The American Express,7129
Peter Uihlein,332.8,32.14,29.5,36.11,0.205,0.241,72.217,AT&T Byron Nelson,7468
Joseph Bramlett,329.5,50,26.75,51.39,-0.042,-0.278,71.717,AT&T Byron Nelson,7468
Paul Barjon,329.4,62.5,28.75,44.44,0.516,-0.157,72.217,AT&T Byron Nelson,7468
